,chip,date,date_index,concentration,dataset,total_label_positive,prob_pos_label_positive,total_label_rods,prob_pos_label_rods,total_label_filaments,prob_pos_label_filaments,total_label_planktonic,prob_pos_label_planktonic,total_label_clumped,prob_pos_label_clumped
0,0.0,20220614,1,0,0,478.0,0.7573221757322176,478.0,0.0027624309392264,478.0,0.0,478.0,0.9972375690607737,478.0,0.8839779005524862
1,1.0,20220614,1,2,0,319.0,0.7586206896551724,319.0,0.0,319.0,0.0,319.0,0.9958677685950414,319.0,0.8223140495867769
2,2.0,20220614,1,4,0,486.0,0.8518518518518519,486.0,0.0579710144927537,486.0,0.0217391304347824,486.0,1.0,486.0,0.9371980676328504
3,3.0,20220614,1,5,0,485.0,0.3876288659793814,485.0,0.1329787234042554,485.0,0.0691489361702128,485.0,0.9893617021276596,485.0,0.9361702127659576
4,4.0,20220614,1,6,0,478.0,0.0481171548117156,478.0,0.52173913043478,478.0,0.4782608695652154,478.0,0.9130434782608662,478.0,0.3913043478260861
5,5.0,20220614,1,7,0,458.0,0.0087336244541483,458.0,0.7499999999999905,458.0,0.2500000000000095,458.0,1.0,458.0,0.5000000000000063
6,0.0,20220614,2,8,1,492.0,0.0020325203252031,492.0,1.0,492.0,1.0,492.0,1.0,492.0,1.0
7,1.0,20220614,2,9,1,489.0,0.0020449897750511,489.0,0.0,489.0,0.0,489.0,1.0,489.0,1.0
8,2.0,20220614,2,10,1,477.0,0.0,477.0,,477.0,,477.0,,477.0,
9,3.0,20220614,2,12,1,468.0,0.0,468.0,,468.0,,468.0,,468.0,
10,4.0,20220614,2,14,1,459.0,0.0,459.0,,459.0,,459.0,,459.0,
11,5.0,20220614,2,20,1,473.0,0.0,473.0,,473.0,,473.0,,473.0,
