,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
0,0,0,0,0,0,¬C¬R¬F,42.0,0.1160220994475138,20220614,1,0,0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20220614,1,0,0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20220614,1,0,0
3,0,3,0,1,1,¬CRF,0.0,0.0,20220614,1,0,0
4,0,4,1,0,0,C¬R¬F,319.0,0.8812154696132597,20220614,1,0,0
5,0,5,1,0,1,C¬RF,0.0,0.0,20220614,1,0,0
6,0,6,1,1,0,CR¬F,1.0,0.0027624309392265,20220614,1,0,0
7,0,7,1,1,1,CRF,0.0,0.0,20220614,1,0,0
15,1,7,1,1,1,CRF,0.0,0.0,20220614,1,0,2
14,1,6,1,1,0,CR¬F,0.0,0.0,20220614,1,0,2
13,1,5,1,0,1,C¬RF,0.0,0.0,20220614,1,0,2
12,1,4,1,0,0,C¬R¬F,199.0,0.8223140495867769,20220614,1,0,2
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20220614,1,0,2
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20220614,1,0,2
8,1,0,0,0,0,¬C¬R¬F,43.0,0.1776859504132231,20220614,1,0,2
11,1,3,0,1,1,¬CRF,0.0,0.0,20220614,1,0,2
22,2,6,1,1,0,CR¬F,20.0,0.0483091787439613,20220614,1,0,4
23,2,7,1,1,1,CRF,1.0,0.002415458937198,20220614,1,0,4
20,2,4,1,0,0,C¬R¬F,361.0,0.8719806763285024,20220614,1,0,4
21,2,5,1,0,1,C¬RF,6.0,0.0144927536231884,20220614,1,0,4
18,2,2,0,1,0,¬CR¬F,2.0,0.0048309178743961,20220614,1,0,4
19,2,3,0,1,1,¬CRF,1.0,0.002415458937198,20220614,1,0,4
17,2,1,0,0,1,¬C¬RF,1.0,0.002415458937198,20220614,1,0,4
16,2,0,0,0,0,¬C¬R¬F,22.0,0.0531400966183574,20220614,1,0,4
30,3,6,1,1,0,CR¬F,18.0,0.0957446808510638,20220614,1,0,5
29,3,5,1,0,1,C¬RF,6.0,0.0319148936170212,20220614,1,0,5
28,3,4,1,0,0,C¬R¬F,149.0,0.7925531914893617,20220614,1,0,5
31,3,7,1,1,1,CRF,3.0,0.0159574468085106,20220614,1,0,5
26,3,2,0,1,0,¬CR¬F,1.0,0.0053191489361702,20220614,1,0,5
25,3,1,0,0,1,¬C¬RF,1.0,0.0053191489361702,20220614,1,0,5
24,3,0,0,0,0,¬C¬R¬F,7.0,0.0372340425531914,20220614,1,0,5
27,3,3,0,1,1,¬CRF,3.0,0.0159574468085106,20220614,1,0,5
32,4,0,0,0,0,¬C¬R¬F,0.0,0.0,20220614,1,0,6
33,4,1,0,0,1,¬C¬RF,4.0,0.1739130434782608,20220614,1,0,6
34,4,2,0,1,0,¬CR¬F,4.0,0.1739130434782608,20220614,1,0,6
35,4,3,0,1,1,¬CRF,6.0,0.2608695652173913,20220614,1,0,6
36,4,4,1,0,0,C¬R¬F,6.0,0.2608695652173913,20220614,1,0,6
37,4,5,1,0,1,C¬RF,1.0,0.0434782608695652,20220614,1,0,6
38,4,6,1,1,0,CR¬F,2.0,0.0869565217391304,20220614,1,0,6
39,4,7,1,1,1,CRF,0.0,0.0,20220614,1,0,6
45,5,5,1,0,1,C¬RF,0.0,0.0,20220614,1,0,7
46,5,6,1,1,0,CR¬F,2.0,0.5,20220614,1,0,7
44,5,4,1,0,0,C¬R¬F,0.0,0.0,20220614,1,0,7
47,5,7,1,1,1,CRF,0.0,0.0,20220614,1,0,7
42,5,2,0,1,0,¬CR¬F,1.0,0.25,20220614,1,0,7
41,5,1,0,0,1,¬C¬RF,1.0,0.25,20220614,1,0,7
40,5,0,0,0,0,¬C¬R¬F,0.0,0.0,20220614,1,0,7
43,5,3,0,1,1,¬CRF,0.0,0.0,20220614,1,0,7
6,0,6,1,1,0,CR¬F,0.0,0.0,20220614,2,1,8
5,0,5,1,0,1,C¬RF,0.0,0.0,20220614,2,1,8
4,0,4,1,0,0,C¬R¬F,0.0,0.0,20220614,2,1,8
7,0,7,1,1,1,CRF,1.0,1.0,20220614,2,1,8
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20220614,2,1,8
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20220614,2,1,8
0,0,0,0,0,0,¬C¬R¬F,0.0,0.0,20220614,2,1,8
3,0,3,0,1,1,¬CRF,0.0,0.0,20220614,2,1,8
8,1,0,0,0,0,¬C¬R¬F,0.0,0.0,20220614,2,1,9
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20220614,2,1,9
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20220614,2,1,9
11,1,3,0,1,1,¬CRF,0.0,0.0,20220614,2,1,9
12,1,4,1,0,0,C¬R¬F,1.0,1.0,20220614,2,1,9
13,1,5,1,0,1,C¬RF,0.0,0.0,20220614,2,1,9
14,1,6,1,1,0,CR¬F,0.0,0.0,20220614,2,1,9
15,1,7,1,1,1,CRF,0.0,0.0,20220614,2,1,9
23,2,7,1,1,1,CRF,,,20220614,2,1,10
22,2,6,1,1,0,CR¬F,,,20220614,2,1,10
20,2,4,1,0,0,C¬R¬F,,,20220614,2,1,10
21,2,5,1,0,1,C¬RF,,,20220614,2,1,10
18,2,2,0,1,0,¬CR¬F,,,20220614,2,1,10
17,2,1,0,0,1,¬C¬RF,,,20220614,2,1,10
16,2,0,0,0,0,¬C¬R¬F,,,20220614,2,1,10
19,2,3,0,1,1,¬CRF,,,20220614,2,1,10
24,3,0,0,0,0,¬C¬R¬F,,,20220614,2,1,12
25,3,1,0,0,1,¬C¬RF,,,20220614,2,1,12
26,3,2,0,1,0,¬CR¬F,,,20220614,2,1,12
27,3,3,0,1,1,¬CRF,,,20220614,2,1,12
28,3,4,1,0,0,C¬R¬F,,,20220614,2,1,12
29,3,5,1,0,1,C¬RF,,,20220614,2,1,12
30,3,6,1,1,0,CR¬F,,,20220614,2,1,12
31,3,7,1,1,1,CRF,,,20220614,2,1,12
39,4,7,1,1,1,CRF,,,20220614,2,1,14
