,chip,date,date_index,concentration,dataset,total_label_positive,prob_pos_label_positive,total_label_rods,prob_pos_label_rods,total_label_filaments,prob_pos_label_filaments,total_label_planktonic,prob_pos_label_planktonic,total_label_clumped,prob_pos_label_clumped
0,0.0,20220524,1,0.0,0,474.0,0.7953586497890296,474.0,0.0,474.0,0.0,474.0,1.0,474.0,0.6472148541114059
1,5.0,20220602,1,0.0,1,460.0,0.5521739130434783,460.0,0.0,460.0,0.0,460.0,1.0,460.0,0.7716535433070866
2,0.0,20220628,1,0.0,2,480.0,0.9333333333333332,480.0,0.0,480.0,0.0,480.0,1.0,480.0,0.8794642857142858
3,0.0,20221012,1,0.0,4,476.0,0.8445378151260505,476.0,0.0,476.0,0.0,476.0,1.0,476.0,0.6517412935323382
4,0.0,20221013,1,0.0,5,454.0,0.6916299559471366,454.0,0.0,454.0,0.0,454.0,1.0,454.0,0.697452229299363
5,0.0,20221031,1,0.0,6,456.0,0.9473684210526316,456.0,0.0,456.0,0.0,456.0,1.0,456.0,0.6365740740740741
6,0.0,20221031,2,0.0,7,440.0,0.95,440.0,0.0,440.0,0.0,440.0,1.0,440.0,0.7751196172248804
7,0.0,20221122,1,0.0,8,458.0,0.9978165938864628,458.0,0.0,458.0,0.0,458.0,1.0,458.0,0.8315098468271334
8,0.0,20230111,1,0.0,9,470.0,0.6893617021276597,470.0,0.0,470.0,0.0,470.0,1.0,470.0,0.1481481481481481
9,0.0,20230221,1,0.0,11,449.0,0.8329621380846326,449.0,0.6737967914438502,449.0,0.0775401069518714,449.0,1.0,449.0,0.1764705882352941
10,0.0,20230313,1,0.0,12,476.0,0.8088235294117648,476.0,0.0,476.0,0.0025974025974025,476.0,1.0,476.0,0.5116883116883115
11,1.0,20221122,1,0.5,8,460.0,0.9760869565217392,460.0,0.0,460.0,0.0,460.0,1.0,460.0,0.0512249443207127
12,1.0,20230111,1,0.5,9,455.0,0.8857142857142858,455.0,0.0049627791563275,455.0,0.0,455.0,1.0,455.0,0.0794044665012407
13,1.0,20230221,1,0.5,11,474.0,0.8755274261603376,474.0,0.0,474.0,0.0,474.0,1.0,474.0,0.5012048192771084
14,1.0,20230313,1,0.5,12,436.0,0.8899082568807339,436.0,0.0,436.0,0.0,436.0,1.0,436.0,0.0515463917525773
15,2.0,20221122,1,1.0,8,449.0,0.9487750556792874,449.0,0.0,449.0,0.0,449.0,1.0,449.0,0.028169014084507
16,2.0,20230111,1,1.0,9,461.0,0.9219088937093276,461.0,0.0023529411764706,461.0,0.0,461.0,1.0,461.0,0.0329411764705881
17,2.0,20230221,1,1.0,11,487.0,0.6344969199178645,487.0,0.0,487.0,0.0,487.0,1.0,487.0,0.2880258899676375
18,2.0,20230313,1,1.0,12,470.0,0.8042553191489362,470.0,0.0026455026455025,470.0,0.0026455026455025,470.0,1.0,470.0,0.0052910052910052
19,3.0,20221122,1,1.5,8,440.0,0.915909090909091,440.0,0.1017369727047144,440.0,0.0074441687344913,440.0,1.0,440.0,0.0074441687344913
20,3.0,20230111,1,1.5,9,467.0,0.9293361884368307,467.0,0.0,467.0,0.0,467.0,1.0,467.0,0.0276497695852534
21,3.0,20230221,1,1.5,11,474.0,0.79957805907173,474.0,0.0316622691292876,474.0,0.0,474.0,1.0,474.0,0.4511873350923483
22,3.0,20230313,1,1.5,12,464.0,0.8663793103448276,464.0,0.1218905472636816,464.0,0.0149253731343285,464.0,1.0,464.0,0.0024875621890547
23,1.0,20220524,1,2.0,0,457.0,0.9299781181619255,457.0,0.0,457.0,0.0,457.0,1.0,457.0,0.1458823529411764
24,4.0,20220602,1,2.0,1,478.0,0.8849372384937239,478.0,0.0047281323877068,478.0,0.0,478.0,1.0,478.0,0.016548463356974
25,1.0,20220628,1,2.0,2,470.0,0.9765957446808512,470.0,0.0,470.0,0.0,470.0,1.0,470.0,0.4357298474945533
