,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
0,0,0,0,0,0,¬C¬R¬F,133.0,0.3527851458885941,20220524,1,0,0.0
47,5,7,1,1,1,CRF,0.0,0.0,20220602,1,1,0.0
46,5,6,1,1,0,CR¬F,0.0,0.0,20220602,1,1,0.0
45,5,5,1,0,1,C¬RF,0.0,0.0,20220602,1,1,0.0
44,5,4,1,0,0,C¬R¬F,196.0,0.7716535433070866,20220602,1,1,0.0
43,5,3,0,1,1,¬CRF,0.0,0.0,20220602,1,1,0.0
42,5,2,0,1,0,¬CR¬F,0.0,0.0,20220602,1,1,0.0
41,5,1,0,0,1,¬C¬RF,0.0,0.0,20220602,1,1,0.0
40,5,0,0,0,0,¬C¬R¬F,58.0,0.2283464566929134,20220602,1,1,0.0
0,0,0,0,0,0,¬C¬R¬F,77.0,0.1684901531728665,20221122,1,8,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20221122,1,8,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20221122,1,8,0.0
0,0,0,0,0,0,¬C¬R¬F,54.0,0.1205357142857142,20220628,1,2,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20221122,1,8,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20221122,1,8,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20221122,1,8,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20221122,1,8,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20221031,1,6,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20230313,1,12,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20230313,1,12,0.0
5,0,5,1,0,1,C¬RF,1.0,0.0025974025974025,20230313,1,12,0.0
4,0,4,1,0,0,C¬R¬F,196.0,0.509090909090909,20230313,1,12,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20230313,1,12,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20230313,1,12,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230313,1,12,0.0
4,0,4,1,0,0,C¬R¬F,380.0,0.8315098468271335,20221122,1,8,0.0
0,0,0,0,0,0,¬C¬R¬F,188.0,0.4883116883116883,20230313,1,12,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20220628,1,2,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20220628,1,2,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20221031,1,6,0.0
4,0,4,1,0,0,C¬R¬F,275.0,0.6365740740740741,20221031,1,6,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20221031,1,6,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20221031,1,6,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20221031,1,6,0.0
0,0,0,0,0,0,¬C¬R¬F,157.0,0.3634259259259259,20221031,1,6,0.0
0,0,0,0,0,0,¬C¬R¬F,110.0,0.2941176470588235,20230221,1,11,0.0
1,0,1,0,0,1,¬C¬RF,4.0,0.0106951871657754,20230221,1,11,0.0
2,0,2,0,1,0,¬CR¬F,184.0,0.4919786096256685,20230221,1,11,0.0
3,0,3,0,1,1,¬CRF,10.0,0.0267379679144385,20230221,1,11,0.0
4,0,4,1,0,0,C¬R¬F,4.0,0.0106951871657754,20230221,1,11,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20220628,1,2,0.0
5,0,5,1,0,1,C¬RF,4.0,0.0106951871657754,20230221,1,11,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20221031,2,7,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20221031,2,7,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20221031,2,7,0.0
4,0,4,1,0,0,C¬R¬F,324.0,0.7751196172248804,20221031,2,7,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20221031,2,7,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20221031,2,7,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20221031,2,7,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20220628,1,2,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20220628,1,2,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20220628,1,2,0.0
4,0,4,1,0,0,C¬R¬F,394.0,0.8794642857142857,20220628,1,2,0.0
0,0,0,0,0,0,¬C¬R¬F,94.0,0.2248803827751196,20221031,2,7,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20221013,1,5,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20221031,1,6,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20221013,1,5,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20230111,1,9,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20230111,1,9,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20230111,1,9,0.0
0,0,0,0,0,0,¬C¬R¬F,140.0,0.3482587064676617,20221012,1,4,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20221012,1,4,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20221013,1,5,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20221012,1,4,0.0
4,0,4,1,0,0,C¬R¬F,262.0,0.6517412935323383,20221012,1,4,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20221012,1,4,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20221012,1,4,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20221012,1,4,0.0
7,0,7,1,1,1,CRF,11.0,0.0294117647058823,20230221,1,11,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20220524,1,0,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20220524,1,0,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20220524,1,0,0.0
4,0,4,1,0,0,C¬R¬F,244.0,0.6472148541114059,20220524,1,0,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20220524,1,0,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20220524,1,0,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20220524,1,0,0.0
4,0,4,1,0,0,C¬R¬F,48.0,0.1481481481481481,20230111,1,9,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20230111,1,9,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20221012,1,4,0.0
4,0,4,1,0,0,C¬R¬F,219.0,0.697452229299363,20221013,1,5,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20221013,1,5,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20221013,1,5,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20221013,1,5,0.0
0,0,0,0,0,0,¬C¬R¬F,95.0,0.3025477707006369,20221013,1,5,0.0
6,0,6,1,1,0,CR¬F,47.0,0.1256684491978609,20230221,1,11,0.0
0,0,0,0,0,0,¬C¬R¬F,276.0,0.8518518518518519,20230111,1,9,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230111,1,9,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20230111,1,9,0.0
8,1,0,0,0,0,¬C¬R¬F,426.0,0.9487750556792872,20221122,1,8,0.5
8,1,0,0,0,0,¬C¬R¬F,207.0,0.4987951807228916,20230221,1,11,0.5
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20230221,1,11,0.5
15,1,7,1,1,1,CRF,0.0,0.0,20230313,1,12,0.5
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20221122,1,8,0.5
13,1,5,1,0,1,C¬RF,0.0,0.0,20230221,1,11,0.5
11,1,3,0,1,1,¬CRF,0.0,0.0,20230221,1,11,0.5
12,1,4,1,0,0,C¬R¬F,208.0,0.5012048192771085,20230221,1,11,0.5
14,1,6,1,1,0,CR¬F,0.0,0.0,20230221,1,11,0.5
15,1,7,1,1,1,CRF,0.0,0.0,20230221,1,11,0.5
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20230221,1,11,0.5
8,1,0,0,0,0,¬C¬R¬F,368.0,0.9484536082474226,20230313,1,12,0.5
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20230313,1,12,0.5
11,1,3,0,1,1,¬CRF,0.0,0.0,20230313,1,12,0.5
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20221122,1,8,0.5
11,1,3,0,1,1,¬CRF,0.0,0.0,20221122,1,8,0.5
12,1,4,1,0,0,C¬R¬F,23.0,0.0512249443207126,20221122,1,8,0.5
13,1,5,1,0,1,C¬RF,0.0,0.0,20221122,1,8,0.5
14,1,6,1,1,0,CR¬F,0.0,0.0,20221122,1,8,0.5
8,1,0,0,0,0,¬C¬R¬F,369.0,0.9156327543424316,20230111,1,9,0.5
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20230111,1,9,0.5
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20230313,1,12,0.5
11,1,3,0,1,1,¬CRF,0.0,0.0,20230111,1,9,0.5
12,1,4,1,0,0,C¬R¬F,32.0,0.0794044665012407,20230111,1,9,0.5
13,1,5,1,0,1,C¬RF,0.0,0.0,20230111,1,9,0.5
10,1,2,0,1,0,¬CR¬F,2.0,0.0049627791563275,20230111,1,9,0.5
15,1,7,1,1,1,CRF,0.0,0.0,20230111,1,9,0.5
12,1,4,1,0,0,C¬R¬F,20.0,0.0515463917525773,20230313,1,12,0.5
13,1,5,1,0,1,C¬RF,0.0,0.0,20230313,1,12,0.5
14,1,6,1,1,0,CR¬F,0.0,0.0,20230313,1,12,0.5
15,1,7,1,1,1,CRF,0.0,0.0,20221122,1,8,0.5
14,1,6,1,1,0,CR¬F,0.0,0.0,20230111,1,9,0.5
16,2,0,0,0,0,¬C¬R¬F,376.0,0.9947089947089948,20230313,1,12,1.0
18,2,2,0,1,0,¬CR¬F,0.0,0.0,20230313,1,12,1.0
19,2,3,0,1,1,¬CRF,0.0,0.0,20230313,1,12,1.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20230221,1,11,1.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20230221,1,11,1.0
19,2,3,0,1,1,¬CRF,0.0,0.0,20230221,1,11,1.0
18,2,2,0,1,0,¬CR¬F,0.0,0.0,20230221,1,11,1.0
23,2,7,1,1,1,CRF,1.0,0.0026455026455026,20230313,1,12,1.0
17,2,1,0,0,1,¬C¬RF,0.0,0.0,20230221,1,11,1.0
16,2,0,0,0,0,¬C¬R¬F,220.0,0.7119741100323624,20230221,1,11,1.0
20,2,4,1,0,0,C¬R¬F,1.0,0.0026455026455026,20230313,1,12,1.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20230313,1,12,1.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20230313,1,12,1.0
20,2,4,1,0,0,C¬R¬F,89.0,0.2880258899676375,20230221,1,11,1.0
17,2,1,0,0,1,¬C¬RF,0.0,0.0,20230313,1,12,1.0
23,2,7,1,1,1,CRF,0.0,0.0,20230221,1,11,1.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20221122,1,8,1.0
17,2,1,0,0,1,¬C¬RF,0.0,0.0,20230111,1,9,1.0
18,2,2,0,1,0,¬CR¬F,1.0,0.0023529411764705,20230111,1,9,1.0
19,2,3,0,1,1,¬CRF,0.0,0.0,20230111,1,9,1.0
20,2,4,1,0,0,C¬R¬F,14.0,0.0329411764705882,20230111,1,9,1.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20230111,1,9,1.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20230111,1,9,1.0
23,2,7,1,1,1,CRF,0.0,0.0,20230111,1,9,1.0
23,2,7,1,1,1,CRF,0.0,0.0,20221122,1,8,1.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20221122,1,8,1.0
20,2,4,1,0,0,C¬R¬F,12.0,0.028169014084507,20221122,1,8,1.0
19,2,3,0,1,1,¬CRF,0.0,0.0,20221122,1,8,1.0
18,2,2,0,1,0,¬CR¬F,0.0,0.0,20221122,1,8,1.0
17,2,1,0,0,1,¬C¬RF,0.0,0.0,20221122,1,8,1.0
16,2,0,0,0,0,¬C¬R¬F,414.0,0.971830985915493,20221122,1,8,1.0
16,2,0,0,0,0,¬C¬R¬F,410.0,0.9647058823529412,20230111,1,9,1.0
29,3,5,1,0,1,C¬RF,0.0,0.0,20221122,1,8,1.5
31,3,7,1,1,1,CRF,0.0,0.0,20221122,1,8,1.5
25,3,1,0,0,1,¬C¬RF,0.0,0.0,20230111,1,9,1.5
26,3,2,0,1,0,¬CR¬F,0.0,0.0,20230111,1,9,1.5
27,3,3,0,1,1,¬CRF,0.0,0.0,20230111,1,9,1.5
28,3,4,1,0,0,C¬R¬F,12.0,0.0276497695852534,20230111,1,9,1.5
29,3,5,1,0,1,C¬RF,0.0,0.0,20230111,1,9,1.5
30,3,6,1,1,0,CR¬F,0.0,0.0,20230111,1,9,1.5
31,3,7,1,1,1,CRF,0.0,0.0,20230111,1,9,1.5
30,3,6,1,1,0,CR¬F,0.0,0.0,20221122,1,8,1.5
24,3,0,0,0,0,¬C¬R¬F,203.0,0.5356200527704486,20230221,1,11,1.5
