,chip,date,date_index,concentration,dataset,prob_neg_label_positive,total_label_positive,prob_pos_label_positive,prob_neg_label_rods,total_label_rods,prob_pos_label_rods,prob_neg_label_filaments,total_label_filaments,prob_pos_label_filaments,prob_neg_label_planktonic,total_label_planktonic,prob_pos_label_planktonic,prob_neg_label_clumped,total_label_clumped,prob_pos_label_clumped
0,0.0,20220531,1,0.0,0,0.3498817966903073,423.0,0.6501182033096927,1.0,423.0,0.0,1.0,423.0,0.0,0.3522458628841607,423.0,0.6477541371158393,0.5059101654846335,423.0,0.4940898345153665
1,0.0,20220531,2,0.0,1,0.4693877551020408,441.0,0.5306122448979592,1.0,441.0,0.0,1.0,441.0,0.0,0.4693877551020408,441.0,0.5306122448979592,0.6757369614512472,441.0,0.3242630385487528
2,0.0,20230131,1,0.0,2,0.3371559633027522,436.0,0.6628440366972478,1.0,436.0,0.0,1.0,436.0,0.0,0.3188073394495412,436.0,0.6811926605504588,0.6330275229357798,436.0,0.3669724770642202
3,1.0,20220531,1,2.0,0,0.2488584474885844,438.0,0.7511415525114156,0.9429223744292238,438.0,0.0570776255707762,0.2648401826484018,438.0,0.7351598173515982,0.4611872146118721,438.0,0.5388127853881279,0.2853881278538813,438.0,0.7146118721461188
4,1.0,20220531,2,2.0,1,0.6469248291571754,439.0,0.3530751708428246,0.9339407744874716,439.0,0.0660592255125284,0.6583143507972665,439.0,0.3416856492027335,0.662870159453303,439.0,0.337129840546697,0.7403189066059226,439.0,0.2596810933940774
5,1.0,20230131,1,2.0,2,0.4718614718614718,462.0,0.5281385281385282,0.9913419913419912,462.0,0.0086580086580088,1.0,462.0,0.0,0.422077922077922,462.0,0.577922077922078,0.5735930735930735,462.0,0.4264069264069264
6,2.0,20230131,1,2.5,2,0.4310344827586206,464.0,0.5689655172413794,0.9030172413793104,464.0,0.0969827586206896,0.9741379310344828,464.0,0.0258620689655172,0.396551724137931,464.0,0.603448275862069,0.5086206896551724,464.0,0.4913793103448276
7,3.0,20230131,1,3.0,2,0.5509761388286334,461.0,0.4490238611713666,0.9262472885032538,461.0,0.0737527114967462,0.9718004338394792,461.0,0.0281995661605207,0.4533622559652928,461.0,0.5466377440347072,0.5813449023861171,461.0,0.4186550976138828
8,4.0,20230131,1,3.5,2,0.3501144164759725,437.0,0.6498855835240275,0.6979405034324943,437.0,0.3020594965675057,0.8237986270022883,437.0,0.1762013729977116,0.160183066361556,437.0,0.839816933638444,0.3432494279176201,437.0,0.6567505720823799
9,2.0,20220531,1,4.0,0,0.8154897494305239,439.0,0.1845102505694761,0.8952164009111617,439.0,0.1047835990888382,0.6150341685649203,439.0,0.3849658314350797,0.6264236902050114,439.0,0.3735763097949885,0.8724373576309795,439.0,0.1275626423690204
10,2.0,20220531,2,4.0,1,0.9865168539325844,445.0,0.0134831460674156,0.9887640449438202,445.0,0.0112359550561798,0.9752808988764043,445.0,0.0247191011235956,0.9438202247191012,445.0,0.0561797752808987,0.9932584269662922,445.0,0.0067415730337078
11,5.0,20230131,1,4.0,2,0.723175965665236,466.0,0.276824034334764,0.8326180257510729,466.0,0.1673819742489271,0.871244635193133,466.0,0.128755364806867,0.4120171673819742,466.0,0.5879828326180259,0.7467811158798283,466.0,0.2532188841201717
12,0.0,20230131,2,4.5,3,0.4459459459459459,444.0,0.5540540540540542,0.8648648648648649,444.0,0.1351351351351351,0.4729729729729729,444.0,0.5270270270270271,0.1351351351351351,444.0,0.8648648648648649,0.5225225225225225,444.0,0.4774774774774775
13,1.0,20230131,2,5.0,3,0.7912844036697247,436.0,0.2087155963302752,0.9610091743119266,436.0,0.0389908256880734,0.7798165137614679,436.0,0.2201834862385321,0.3440366972477064,436.0,0.6559633027522935,0.8302752293577982,436.0,0.1697247706422018
14,2.0,20230131,2,5.5,3,0.8254310344827587,464.0,0.1745689655172413,0.9741379310344828,464.0,0.0258620689655172,0.7887931034482759,464.0,0.2112068965517241,0.3836206896551724,464.0,0.6163793103448276,0.8556034482758621,464.0,0.1443965517241379
15,3.0,20230131,2,6.0,3,0.8214285714285714,420.0,0.1785714285714286,0.9666666666666668,420.0,0.0333333333333332,0.7952380952380952,420.0,0.2047619047619048,0.4095238095238095,420.0,0.5904761904761905,0.8476190476190476,420.0,0.1523809523809524
16,3.0,20220531,1,8.0,0,0.9881516587677726,422.0,0.0118483412322274,0.9691943127962084,422.0,0.0308056872037916,0.95260663507109,422.0,0.04739336492891,0.933649289099526,422.0,0.0663507109004739,0.9834123222748816,422.0,0.0165876777251183
17,3.0,20220531,2,8.0,1,0.997752808988764,445.0,0.002247191011236,0.991011235955056,445.0,0.0089887640449439,0.995505617977528,445.0,0.0044943820224719,0.9865168539325844,445.0,0.0134831460674156,0.995505617977528,445.0,0.0044943820224719
18,4.0,20230131,2,8.0,3,0.9504716981132076,424.0,0.0495283018867923,0.8183962264150944,424.0,0.1816037735849056,0.7405660377358491,424.0,0.2594339622641509,0.6698113207547169,424.0,0.330188679245283,0.9363207547169812,424.0,0.0636792452830188
19,4.0,20220531,1,16.0,0,0.9978991596638656,476.0,0.0021008403361344,0.9663865546218487,476.0,0.0336134453781512,0.9936974789915968,476.0,0.0063025210084032,0.9684873949579832,476.0,0.0315126050420168,0.9978991596638656,476.0,0.0021008403361344
20,4.0,20220531,2,16.0,1,1.0,465.0,0.0,0.9333333333333332,465.0,0.0666666666666667,0.9978494623655914,465.0,0.0021505376344086,0.9311827956989248,465.0,0.0688172043010751,0.9978494623655914,465.0,0.0021505376344086
21,5.0,20230131,2,16.0,3,0.9692982456140352,456.0,0.0307017543859647,0.5723684210526315,456.0,0.4276315789473685,0.7017543859649122,456.0,0.2982456140350877,0.7171052631578947,456.0,0.2828947368421053,0.9407894736842104,456.0,0.0592105263157896
22,5.0,20220531,1,32.0,0,1.0,454.0,0.0,0.922907488986784,454.0,0.077092511013216,0.9889867841409692,454.0,0.0110132158590308,0.9317180616740088,454.0,0.0682819383259911,0.9955947136563876,454.0,0.0044052863436123
23,5.0,20220531,2,32.0,1,1.0,471.0,0.0,0.8789808917197452,471.0,0.1210191082802547,0.9915074309978767,471.0,0.0084925690021232,0.8704883227176221,471.0,0.1295116772823779,1.0,471.0,0.0
