,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
0,0,0,0,0,0,¬C¬R¬F,67.0,0.2436363636363636,20220531,1,0,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20230131,1,2,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20230131,1,2,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20230131,1,2,0.0
4,0,4,1,0,0,C¬R¬F,159.0,0.5501730103806228,20230131,1,2,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20230131,1,2,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20230131,1,2,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230131,1,2,0.0
0,0,0,0,0,0,¬C¬R¬F,130.0,0.4498269896193771,20230131,1,2,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20220531,2,1,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20220531,2,1,0.0
4,0,4,1,0,0,C¬R¬F,143.0,0.6111111111111112,20220531,2,1,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20220531,2,1,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20220531,2,1,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20220531,2,1,0.0
0,0,0,0,0,0,¬C¬R¬F,91.0,0.3888888888888889,20220531,2,1,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20220531,2,1,0.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20220531,1,0,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20220531,1,0,0.0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20220531,1,0,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20220531,1,0,0.0
4,0,4,1,0,0,C¬R¬F,208.0,0.7563636363636363,20220531,1,0,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20220531,1,0,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20220531,1,0,0.0
9,1,1,0,0,1,¬C¬RF,25.0,0.1612903225806451,20220531,2,1,2.0
8,1,0,0,0,0,¬C¬R¬F,1.0,0.0064516129032258,20220531,2,1,2.0
9,1,1,0,0,1,¬C¬RF,14.0,0.0425531914893617,20220531,1,0,2.0
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20220531,1,0,2.0
14,1,6,1,1,0,CR¬F,0.0,0.0,20220531,2,1,2.0
11,1,3,0,1,1,¬CRF,5.0,0.0151975683890577,20220531,1,0,2.0
10,1,2,0,1,0,¬CR¬F,3.0,0.0193548387096774,20220531,2,1,2.0
12,1,4,1,0,0,C¬R¬F,5.0,0.0151975683890577,20220531,1,0,2.0
13,1,5,1,0,1,C¬RF,284.0,0.8632218844984803,20220531,1,0,2.0
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20230131,1,2,2.0
11,1,3,0,1,1,¬CRF,12.0,0.0774193548387096,20220531,2,1,2.0
15,1,7,1,1,1,CRF,0.0,0.0,20230131,1,2,2.0
13,1,5,1,0,1,C¬RF,98.0,0.632258064516129,20220531,2,1,2.0
