,chip,date,date_index,concentration,dataset,total_label_positive,prob_pos_label_positive,total_label_rods,prob_pos_label_rods,total_label_filaments,prob_pos_label_filaments,total_label_planktonic,prob_pos_label_planktonic,total_label_clumped,prob_pos_label_clumped
0,0.0,20221101,1,0.0,0,454.0,0.8127753303964758,454.0,0.0108401084010839,454.0,0.0,454.0,1.0,454.0,0.3929539295392954
1,0.0,20221101,2,0.0,1,462.0,0.7445887445887446,462.0,0.0203488372093024,462.0,0.0,462.0,1.0,462.0,0.4534883720930233
2,0.0,20230110,1,0.0,2,475.0,0.8021052631578948,475.0,0.0078740157480314,475.0,0.0,475.0,0.9921259842519684,475.0,0.868766404199475
3,1.0,20221101,1,0.15,0,404.0,0.7054455445544555,404.0,0.0070175438596491,404.0,0.0,404.0,1.0,404.0,0.3403508771929824
4,1.0,20221101,2,0.15,1,443.0,0.7832957110609481,443.0,0.0,443.0,0.0,443.0,1.0,443.0,0.4178674351585014
5,1.0,20230110,1,0.25,2,468.0,0.764957264957265,468.0,0.0027932960893853,468.0,0.0,468.0,1.0,468.0,0.8547486033519553
6,2.0,20221101,1,0.5,0,434.0,0.5783410138248848,434.0,0.047808764940239,434.0,0.0,434.0,1.0,434.0,0.3266932270916334
7,2.0,20221101,2,0.5,1,450.0,0.42,450.0,0.111111111111111,450.0,0.0,450.0,1.0,450.0,0.3015873015873016
8,2.0,20230110,1,0.5,2,462.0,0.5930735930735931,462.0,0.0,462.0,0.0,462.0,1.0,462.0,0.8576642335766423
9,3.0,20230110,1,0.6,2,475.0,0.3431578947368421,475.0,0.0245398773006136,475.0,0.0,475.0,1.0,475.0,0.7914110429447853
10,4.0,20230110,1,0.65,2,473.0,0.3699788583509513,473.0,0.0228571428571431,473.0,0.0,473.0,1.0,473.0,0.7885714285714286
11,5.0,20230110,1,0.7,2,454.0,0.5044052863436124,454.0,0.0917030567685592,454.0,0.0043668122270742,454.0,1.0,454.0,0.7685589519650655
12,3.0,20221101,1,0.75,0,478.0,0.0083682008368199,478.0,0.0,478.0,0.0,478.0,1.0,478.0,0.7500000000000265
13,3.0,20221101,2,0.75,1,448.0,0.0714285714285714,448.0,0.2499999999999992,448.0,0.0,448.0,1.0,448.0,0.406250000000001
14,0.0,20230110,2,0.75,3,458.0,0.0087336244541483,458.0,0.0,458.0,0.0,458.0,1.0,458.0,1.0
15,1.0,20230110,2,0.8,3,462.0,0.0432900432900431,462.0,0.300000000000001,462.0,0.0,462.0,1.0,462.0,0.6000000000000021
16,2.0,20230110,2,0.85,3,471.0,0.0042462845010615,471.0,0.5,471.0,0.0,471.0,1.0,471.0,0.5
17,3.0,20230110,2,0.9,3,478.0,0.0167364016736402,478.0,0.0,478.0,0.0,478.0,1.0,478.0,0.8750000000000017
18,4.0,20230110,2,0.95,3,469.0,0.0405117270788911,469.0,0.3157894736842109,469.0,0.0526315789473698,469.0,1.0,469.0,0.3684210526315808
19,4.0,20221101,1,1.0,0,447.0,0.0022371364653244,447.0,1.0,447.0,0.0,447.0,1.0,447.0,0.0
20,4.0,20221101,2,1.0,1,426.0,0.0046948356807512,426.0,0.0,426.0,0.0,426.0,1.0,426.0,0.5
21,5.0,20230110,2,1.5,3,484.0,0.0268595041322313,484.0,0.4615384615384605,484.0,0.0,484.0,1.0,484.0,0.3076923076923029
22,5.0,20221101,1,2.0,0,483.0,0.0,483.0,,483.0,,483.0,,483.0,
23,5.0,20221101,2,2.0,1,452.0,0.0022123893805308,452.0,1.0,452.0,0.0,452.0,1.0,452.0,0.0
