,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
0,0,0,0,0,0,¬C¬R¬F,222.0,0.6016260162601627,20221101,1,0,0.0
6,0,6,1,1,0,CR¬F,2.0,0.0052493438320209,20230110,1,2,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20230110,1,2,0.0
4,0,4,1,0,0,C¬R¬F,329.0,0.863517060367454,20230110,1,2,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20230110,1,2,0.0
2,0,2,0,1,0,¬CR¬F,1.0,0.0026246719160104,20230110,1,2,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230110,1,2,0.0
0,0,0,0,0,0,¬C¬R¬F,49.0,0.1286089238845144,20230110,1,2,0.0
0,0,0,0,0,0,¬C¬R¬F,186.0,0.5406976744186046,20221101,2,1,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20221101,2,1,0.0
2,0,2,0,1,0,¬CR¬F,2.0,0.005813953488372,20221101,2,1,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20221101,2,1,0.0
4,0,4,1,0,0,C¬R¬F,151.0,0.438953488372093,20221101,2,1,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20230110,1,2,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20221101,2,1,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20221101,2,1,0.0
7,0,7,1,1,1,CRF,0.0,0.0,20221101,1,0,0.0
6,0,6,1,1,0,CR¬F,2.0,0.005420054200542,20221101,1,0,0.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20221101,1,0,0.0
4,0,4,1,0,0,C¬R¬F,143.0,0.3875338753387534,20221101,1,0,0.0
3,0,3,0,1,1,¬CRF,0.0,0.0,20221101,1,0,0.0
2,0,2,0,1,0,¬CR¬F,2.0,0.005420054200542,20221101,1,0,0.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20221101,1,0,0.0
