,chip,date,date_index,concentration,dataset,total_label_positive,prob_pos_label_positive,total_label_rods,prob_pos_label_rods,total_label_filaments,prob_pos_label_filaments,total_label_planktonic,prob_pos_label_planktonic,total_label_clumped,prob_pos_label_clumped
0,0.0,20230315,1,0,0,475.0,0.8063157894736842,475.0,0.0,475.0,0.0026109660574413,475.0,1.0,475.0,0.7154046997389033
1,0.0,20230404,1,0,2,465.0,0.6,465.0,0.0071684587813619,465.0,0.0,465.0,1.0,465.0,0.5519713261648745
2,1.0,20230404,1,10,2,468.0,0.6901709401709402,468.0,0.0030959752321979,468.0,0.0,468.0,1.0,468.0,0.5046439628482972
3,1.0,20230315,1,20,0,434.0,0.8225806451612903,434.0,0.0,434.0,0.0,434.0,1.0,434.0,0.5322128851540616
4,2.0,20230404,1,20,2,438.0,0.6484018264840183,438.0,0.0,438.0,0.0,438.0,1.0,438.0,0.6232394366197181
5,2.0,20230315,1,40,0,466.0,0.5493562231759657,466.0,0.0,466.0,0.0,466.0,1.0,466.0,0.6562499999999999
6,3.0,20230404,1,40,2,436.0,0.3738532110091743,436.0,0.0,436.0,0.0,436.0,1.0,436.0,0.6134969325153372
7,4.0,20230404,1,50,2,454.0,0.0462555066079296,454.0,0.0,454.0,0.0,454.0,1.0,454.0,0.8095238095238062
8,3.0,20230315,1,60,0,432.0,0.5810185185185186,432.0,0.0,432.0,0.0,432.0,1.0,432.0,0.7848605577689242
9,5.0,20230404,1,60,2,469.0,0.042643923240938,469.0,0.0,469.0,0.0,469.0,1.0,469.0,0.7999999999999995
10,0.0,20230404,2,65,3,423.0,0.0141843971631205,423.0,0.0,423.0,0.0,423.0,0.8333333333333334,423.0,0.6666666666666589
11,1.0,20230404,2,70,3,434.0,0.0092165898617512,434.0,0.0,434.0,0.0,434.0,1.0,434.0,0.250000000000003
12,2.0,20230404,2,75,3,433.0,0.0046189376443418,433.0,0.0,433.0,0.0,433.0,1.0,433.0,1.0
13,4.0,20230315,1,80,0,475.0,0.2105263157894736,475.0,0.0100000000000004,475.0,0.0,475.0,1.0,475.0,0.5400000000000003
14,3.0,20230404,2,80,3,458.0,0.0109170305676855,458.0,0.0,458.0,0.0,458.0,1.0,458.0,1.0
15,5.0,20230315,1,100,0,462.0,0.0519480519480519,462.0,0.0,462.0,0.0416666666666641,462.0,1.0,462.0,0.3333333333333305
16,4.0,20230404,2,100,3,478.0,0.0,478.0,,478.0,,478.0,,478.0,
17,0.0,20230315,2,130,1,476.0,0.0,476.0,,476.0,,476.0,,476.0,
18,5.0,20230404,2,130,3,468.0,0.0,468.0,,468.0,,468.0,,468.0,
19,1.0,20230315,2,160,1,465.0,0.0,465.0,,465.0,,465.0,,465.0,
20,2.0,20230315,2,200,1,437.0,0.0,437.0,,437.0,,437.0,,437.0,
21,3.0,20230315,2,250,1,478.0,0.0,478.0,,478.0,,478.0,,478.0,
22,4.0,20230315,2,300,1,474.0,0.0,474.0,,474.0,,474.0,,474.0,
23,5.0,20230315,2,350,1,465.0,0.0,465.0,,465.0,,465.0,,465.0,
