,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
0,0,0,0,0,0,¬C¬R¬F,109.0,0.2845953002610966,20230315,1,0,0
7,0,7,1,1,1,CRF,0.0,0.0,20230404,1,2,0
6,0,6,1,1,0,CR¬F,1.0,0.003584229390681,20230404,1,2,0
5,0,5,1,0,1,C¬RF,0.0,0.0,20230404,1,2,0
4,0,4,1,0,0,C¬R¬F,153.0,0.5483870967741935,20230404,1,2,0
2,0,2,0,1,0,¬CR¬F,1.0,0.003584229390681,20230404,1,2,0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230404,1,2,0
0,0,0,0,0,0,¬C¬R¬F,124.0,0.4444444444444444,20230404,1,2,0
3,0,3,0,1,1,¬CRF,0.0,0.0,20230404,1,2,0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20230315,1,0,0
2,0,2,0,1,0,¬CR¬F,0.0,0.0,20230315,1,0,0
3,0,3,0,1,1,¬CRF,0.0,0.0,20230315,1,0,0
4,0,4,1,0,0,C¬R¬F,273.0,0.7127937336814621,20230315,1,0,0
5,0,5,1,0,1,C¬RF,1.0,0.0026109660574412,20230315,1,0,0
6,0,6,1,1,0,CR¬F,0.0,0.0,20230315,1,0,0
7,0,7,1,1,1,CRF,0.0,0.0,20230315,1,0,0
8,1,0,0,0,0,¬C¬R¬F,159.0,0.4922600619195046,20230404,1,2,10
14,1,6,1,1,0,CR¬F,0.0,0.0,20230404,1,2,10
15,1,7,1,1,1,CRF,0.0,0.0,20230404,1,2,10
11,1,3,0,1,1,¬CRF,0.0,0.0,20230404,1,2,10
10,1,2,0,1,0,¬CR¬F,1.0,0.0030959752321981,20230404,1,2,10
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20230404,1,2,10
13,1,5,1,0,1,C¬RF,0.0,0.0,20230404,1,2,10
12,1,4,1,0,0,C¬R¬F,163.0,0.5046439628482973,20230404,1,2,10
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20230315,1,0,20
23,2,7,1,1,1,CRF,0.0,0.0,20230404,1,2,20
22,2,6,1,1,0,CR¬F,0.0,0.0,20230404,1,2,20
21,2,5,1,0,1,C¬RF,0.0,0.0,20230404,1,2,20
